class,channel,mean,std
baseline,ch_1,63.185272216796875,2.8851704597473145
baseline,ch_2,0.7991040945053101,0.5417904853820801
baseline,ch_3,33.463199615478516,0.9463539123535156
baseline,ch_4,0.0012642996152862906,0.11420582234859467
baseline,ch_5,0.05774455517530441,3.310908079147339
baseline,ch_6,0.9215108156204224,0.019790705293416977
baseline,ch_7,1.1976780891418457,0.44502368569374084
baseline,ch_8,34.68085479736328,0.4609515368938446
stress,ch_1,63.01103210449219,3.59755802154541
stress,ch_2,2.48952317237854,0.49117234349250793
stress,ch_3,33.43215560913086,0.3805970549583435
stress,ch_4,0.0012530680978670716,0.10974735766649246
stress,ch_5,0.05096103996038437,4.121702671051025
stress,ch_6,0.9313836097717285,0.012117576785385609
stress,ch_7,1.8429350852966309,0.17983871698379517
stress,ch_8,35.4277458190918,0.29410621523857117
amusement,ch_1,63.074100494384766,0.4239191710948944
amusement,ch_2,0.42303982377052307,0.007277403958141804
amusement,ch_3,34.11853790283203,0.0670100599527359
amusement,ch_4,0.0012548099039122462,0.08521370589733124
amusement,ch_5,0.043127045035362244,2.572463035583496
amusement,ch_6,0.9395967721939087,0.003854222595691681
amusement,ch_7,0.9204039573669434,0.010791536420583725
amusement,ch_8,34.40471649169922,0.04820001497864723
meditation,ch_1,63.116050720214844,0.5025007128715515
meditation,ch_2,0.6935508251190186,0.25011757016181946
meditation,ch_3,32.980926513671875,1.3617349863052368
meditation,ch_4,0.0012680554063990712,0.08213426172733307
meditation,ch_5,0.02894512005150318,3.7395989894866943
meditation,ch_6,0.9466086030006409,0.003196813864633441
meditation,ch_7,1.3168460130691528,0.3491422235965729
meditation,ch_8,34.774139404296875,0.21577546000480652
