subject,class,count,pct
S10,baseline,750,65.61679790026247
S10,amusement,77,6.73665791776028
S10,meditation,165,14.435695538057743
S10,stress,151,13.21084864391951
S11,baseline,708,65.0137741046832
S11,stress,141,12.947658402203857
S11,meditation,164,15.059687786960515
S11,amusement,76,6.9788797061524335
S13,baseline,770,66.84027777777777
S13,amusement,80,6.944444444444445
S13,meditation,164,14.23611111111111
S13,stress,138,11.979166666666666
S14,baseline,771,66.81109185441942
S14,stress,141,12.21837088388215
S14,meditation,165,14.298093587521663
S14,amusement,77,6.672443674176776
S15,baseline,708,64.77584629460202
S15,amusement,77,7.044830741079598
S15,meditation,165,15.096065873741994
S15,stress,143,13.083257090576396
S16,baseline,791,67.4914675767918
S16,stress,140,11.945392491467576
S16,meditation,165,14.078498293515358
S16,amusement,76,6.484641638225256
S17,baseline,853,69.23701298701299
S17,amusement,77,6.25
S17,meditation,151,12.256493506493506
S17,stress,151,12.256493506493506
S2,baseline,903,71.38339920948617
S2,stress,128,10.118577075098814
S2,meditation,159,12.569169960474309
S2,amusement,75,5.928853754940712
S3,baseline,979,72.46484085862325
S3,stress,133,9.844559585492227
S3,meditation,161,11.917098445595855
S3,amusement,78,5.773501110288675
S4,baseline,959,71.72774869109948
S4,amusement,78,5.833956619296933
S4,meditation,168,12.565445026178011
S4,stress,132,9.87284966342558
S5,baseline,927,71.19815668202764
S5,amusement,77,5.913978494623656
S5,meditation,164,12.596006144393241
S5,stress,134,10.291858678955453
S6,baseline,1096,74.45652173913044
S6,stress,135,9.171195652173912
S6,meditation,164,11.141304347826088
S6,amusement,77,5.230978260869565
S7,baseline,716,65.68807339449542
S7,amusement,77,7.064220183486238
S7,meditation,164,15.045871559633028
S7,stress,133,12.20183486238532
S8,baseline,756,66.49076517150395
S8,amusement,77,6.772207563764292
S8,meditation,165,14.511873350923484
S8,stress,139,12.225153913808267
S9,baseline,712,65.50137994480221
S9,stress,134,12.32750689972401
S9,meditation,164,15.087396504139834
S9,amusement,77,7.083716651333947
