subject,accuracy,f1_macro
S10,0.5389326334208224,0.26713901649086524
S11,0.5959595959595959,0.3192919156612921
S13,0.5651041666666666,0.2882919077208771
S14,0.6724436741767764,0.22401183020180934
S15,0.6633119853613907,0.35621556965081314
S16,0.7201365187713311,0.44206108134420785
S17,0.5081168831168831,0.20328187487764632
S2,0.7138339920948616,0.20825645756457564
S3,0.7253886010362695,0.253476443768997
S4,0.7943156320119671,0.47905985610903645
S5,0.5529953917050692,0.20771198337404892
S6,0.6114130434782609,0.2776098470547706
S7,0.6256880733944954,0.22112605042016809
S8,0.6657871591908531,0.2387776152922129
S9,0.7111315547378105,0.45732153737176595
