subject,accuracy,f1_macro
S10,0.5476815398075241,0.31447758167518836
S11,0.6446280991735537,0.33774070389040045
S13,0.6137152777777778,0.2676008202323992
S14,0.6611785095320624,0.2048902717304544
S15,0.6925892040256175,0.39946566960794516
S16,0.6527303754266212,0.3784560693760485
S17,0.4537337662337662,0.16908650937689051
S2,0.7138339920948616,0.20825645756457564
S3,0.7179866765358993,0.24963700264231292
S4,0.5893792071802543,0.2592419341904787
S5,0.684331797235023,0.20601315108427976
S6,0.717391304347826,0.34005780122461304
S7,0.45688073394495415,0.15979438257762915
S8,0.5804749340369393,0.19362116705978874
S9,0.7635694572217111,0.5786100930838527
