subject,Baseline Accuracy,Balanced Accuracy,Baseline F1,Balanced F1
S10,0.5476815398075241,0.5389326334208224,0.31447758167518836,0.26713901649086524
S11,0.6446280991735537,0.5959595959595959,0.33774070389040045,0.3192919156612921
S13,0.6137152777777778,0.5651041666666666,0.2676008202323992,0.2882919077208771
S14,0.6611785095320624,0.6724436741767764,0.2048902717304544,0.22401183020180934
S15,0.6925892040256175,0.6633119853613907,0.39946566960794516,0.35621556965081314
S16,0.6527303754266212,0.7201365187713311,0.3784560693760485,0.44206108134420785
S17,0.4537337662337662,0.5081168831168831,0.16908650937689051,0.20328187487764632
S2,0.7138339920948616,0.7138339920948616,0.20825645756457564,0.20825645756457564
S3,0.7179866765358993,0.7253886010362695,0.24963700264231292,0.253476443768997
S4,0.5893792071802543,0.7943156320119671,0.2592419341904787,0.47905985610903645
S5,0.684331797235023,0.5529953917050692,0.20601315108427976,0.20771198337404892
S6,0.717391304347826,0.6114130434782609,0.34005780122461304,0.2776098470547706
S7,0.45688073394495415,0.6256880733944954,0.15979438257762915,0.22112605042016809
S8,0.5804749340369393,0.6657871591908531,0.19362116705978874,0.2387776152922129
S9,0.7635694572217111,0.7111315547378105,0.5786100930838527,0.45732153737176595
